"Log Number",Description,"Supplement Indicator",Institution,"Fiscal Year",Program,"Federal Funds","Funding Office",City,State
NAE-254958-OLS-23,"The Saint Regis Mohawk Tribe (SRMT), in partnership with its Tribal Courts, Akwesasne Library, Tribal Clerk, General Counsel’s Office, Education Division, Kanien’keha Language Program, and the Tribal Historic Preservation Office and Records Department will contract with Open Law Library to create a digital law library to improve access to SRMT tribal laws. The project includes creating a satellite law library at the SRMT Tribal Courts for use by Judges, Court Personnel, and litigants. Funds will also provide legal research training to the Akwesasne Library staff so they can assist the public, including self-represented litigants. Additionally, kiosks will be installed for use by those without internet to access digital legal materials. The project will benefit the SRMT tribal government and Akwesasne community members.",0,"Saint Regis Mohawk Tribe",2023,"Native American Library Services: Enhancement Grants",$149987,"Office of Library Services",Akwesasne,NY
NAE-254968-OLS-23,"The Northwestern Band of the Shoshone Nation will expand and rebuild their physical library space through design, supplies, and program development as well as provide more language and culture-based activities for families in the community. Grants funds will be used to purchase seating and shelving, desks, tables, chairs, and moveable walls. Funds will allow staff to build upon current language and culture revitalization efforts through providing more in-person Shoshone language teaching and Shoshone Storybook making activities. Grant funds will also be used towards re-cataloguing/updating their electronic catalogue, as well as resource development. Efforts will be made to display traditional Shoshone interpretive materials such as baskets, beadwork, and other tools and items in order to further Shoshone cultural education.",0,"Northwestern Band of the Shoshone Nation",2023,"Native American Library Services: Enhancement Grants",$61068,"Office of Library Services","Brigham City",UT
NAE-254961-OLS-23,"The Quinault Indian Nation will develop a Quinault language vocabulary builder application in partnership with The Language Conservancy. The project will revitalize the Quinault language through offering access to a mobile, free language learning tool. Importantly, the application can be used with or without internet connection after it has been downloaded, enabling language learners in rural areas without reliable internet to use this language resource. The application will feature a pronunciation guide so that users can learn Quinault pronunciations as well as how to read Quinault orthography. Funds will also support a release event including demonstrations on using the application and participants will be surveyed following the event to gauge effectiveness. The project will benefit the more than 3,470 members of the Quinault Indian Nation.",0,"Quinault Indian Nation",2023,"Native American Library Services: Enhancement Grants",$92272,"Office of Library Services",Taholah,WA
NAE-254979-OLS-23,"The Ahtna Language and Cultural Department of Chickaloon Native Village “Ahtna Dene Nekenaege’ Tene’ (Our Ahtna Language Path) Project” will utilize grants funds to create a new self-hosted searchable database of 500+ hours of Ahtna Dene language recordings, as well as the creation of educational literacy learning materials such as linguistic lessons with accompanying digital audio and video recordings, to be hosted on a website for use by the public. These audio recordings require cataloging and uploading into a web-interfaced platform for ease of use by those wanting to focus on Ahtna language learning. The platform will allow for lesson plan(s) to be added over time, and ensure the preservation of Ahtna language and encourage learning within the home environment and in perpetuity. The platform will also be beneficial to those wishing to do comparison linguistic research among the 11 distinct Athabascan ethnolinguistic groups.",0,"Chickaloon Native Village",2023,"Native American Library Services: Enhancement Grants",$147529,"Office of Library Services",Palmer,AK
NAE-254947-OLS-23,"The Forest County Potowatomi Community (FCPC) will use grant funds to increase its library resources, broaden community engagement activities through multiple partnerships, and expand their youth programming. Grant funds will support the Assistant Librarian position at their Cultural Center, Library & Museum to re-establish the relationship between the library and the community, as well as library programming after initial termination of the role due to the COVID-19 pandemic. Funds will also be used to increase the collection of books, DVD's and CD's pertaining to American Indian History, culture and all fields within the realm of American Indian Studies and literature for Tribal Nations in the Americas. Youth programming will also be expanded beyond the current Pre-K to reach students at all grade levels as the Tribe and the local schools begin efforts to increase knowledge of Potowatomi language, history and culture.",0,"Forest County Potawatomi Community",2023,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services",Crandon,WI
NAE-254959-OLS-23,"The La Jolla Band of Luiseno Indians will strengthen the educational component of the La Jolla Generations Program’s work. The La Jolla Generations Program provides an encouraging atmosphere for area youth to enhance their knowledge and respect of culture, health, and academics.  Grant funds will support staff salaries for Program Aides, who are former students of the La Jolla Generations Program. The Program Aides will plan daily activities related to culture, science, math and literature, and coordinate community events. Funding will also support purchasing classroom supplies, new library books, literacy games, and reading incentives. Additionally, a tutor for Language Arts and Math will provide help to students. Grant funds will support tuition assistance and stipends for college and trade school students. The project will provide a direct benefit to the Jolla Band of Luiseño Indians and members of the Pauma Valley community.",0,"La Jolla Band of Luiseño Indians",2023,"Native American Library Services: Enhancement Grants",$121220,"Office of Library Services","Pauma Valley",CA
NAE-254978-OLS-23,"The Fort Independence Indian Community will partner with the Owens Valley Unified School District and the Eastern California Museum to promote literacy skills, educational resources, and culturally influential activities in their rural Inyo County California community. Project activities include administering surveys to evaluate the educational needs of the community. Additionally, they will implement a read aloud program for children in K-5 grades at the Tribe’s Nuumu Library to enhance reading literacy. The Tribe will develop an after-school program for children in grades 6-12 to provide resources including access to a computer lab and cultural educational activities. The Tribe will collaborate with The Eastern California Museum to bring Indigenous awareness and cultural enrichment workshops to preserve the Paiute language. The project will benefit the community on the Reservation, the Owens Valley Unified School District, and the Eastern California Museum",0,"Fort Independence Indian Reservation",2023,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services",Independence,CA
NAE-254952-OLS-23,"The Catawba Indian Nation’s project will upgrade material artifact storage for the Catawba Nation Archives' (CNA) through the purchase & installation of five museum-grade storage cabinets for their collection of Catawba pottery, basketry, and other material artifacts. Grant funds will also support professional digitization of Catawba language materials currently only available on microfilm; oral histories on obsolete media such as digital audio tapes (DAT); and, microcassettes, as well as still images only available as 35mm slides. This project will allow pottery and other material artifacts to be more easily accessible while providing safe and preservative storage, and make rare linguistic materials, oral histories, and images more widely and easily accessible via the Catawba Nation Archives Online (archives.catawbaculture.org).",0,"Catawba Indian Nation",2023,"Native American Library Services: Enhancement Grants",$145000,"Office of Library Services","Rock Hill",SC
NAE-254977-OLS-23,"The Cachil Dehe Band of Wintun Indians of the Colusa Indian Community Council will utilize grant funds to provide teaching workshop opportunities for community members to improve or learn video taking, video editing and audio editing skills, as well as to create and publish audio and visual stories presented in their Native Language, and discuss important cultural topics via language podcasts. A cookbook that records recipes and traditional native ingredients used by tribal members, and a coloring book where each member can contribute art, will be created using communal participation to be distributed to all households and available at the library. These efforts support the movement to revitalize the conversation, depiction, and culmination of the Cachil Dehe Band of Wintun Indians' culture.",0,"Cachil Dehe Band of Wintun Indians",2023,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services",Colusa,CA
NAE-254971-OLS-23,"Ginanda Gikendaasomin Library, located in remote northern Wisconsin, will support the growth of Red Cliff language and culture as well as community members’ personal aspirations related to educational and employment goals. A key project goal is to support the growth of Ojibwemowin (Ojibwe language) and cultural teachings in Red Cliff. Grant funds will support increased staff hours and programming, including an annual fall College and Career fair, a Business and Career Symposium, featuring workshops related to starting a new business, business planning, job-seeking, and locating resources for childcare. Additional grant funded activities include Back to Basics Native Culture, Book Club, Arts and Crafts Niche, advanced game nights, films and digital club, health and wellness events, and traditional music sessions. The project will benefit all 1,353 tribal members living in Red Cliff and those living nearby, with a special focus on young adults aged 18-35.",0,"Red Cliff Band of Lake Superior Chippewa",2023,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services",Bayfield,WI
NAE-254980-OLS-23,"The Big Valley Band of Pomo Indians of the Big Valley Rancheria will engage tribal members in hands-on, intergenerational learning experiences focused on tribal history, culture, and preservation, improving core library services for the community. Grant funds will support purchasing glass-fronted bookshelves, and shelving units to house and exhibit Tribal cultural and historical collections that have never been displayed before, including maps, baskets, fishing weights, shaping and drilling tools, soaproot, and ceremonial regalia. Grant funds will also support live cultural demonstrations such as traditional fish-traps, baskets, and games; acorn processing, elderberry tonics and other traditional medicines, accompanied by Eastern Pomo language lessons. They will create in-house Eastern Pomo publications for Tribal youth to co-author and illustrate bilingual booklets in English and Eastern Pomo. The project will benefit all tribal members and Lake County residents.",0,"Big Valley Band of Pomo Indians",2023,"Native American Library Services: Enhancement Grants",$87846,"Office of Library Services",Lakeport,CA
NAE-254975-OLS-23,"The Tangirnaq Native Village of the Kodiak Area Native Association will utilize grant funds to purchase materials, culturally relevant literature and publications for their library collection, deploy an outreach campaign to Tribal citizens residing both locally and outside Kodiak to increase usage of the library and website, as well as collaborate with the Pacific Northwest Alutiiq Culture Camp (PNWACC) and other experts to develop culturally relevant language learning resources and educational materials. These will be delivered to the public through multimedia activities and at least 4 virtual education sessions per year. These efforts continue to support Alutiiq language and Tangirnarmiut cultural revitalization movement which includes cultural activities, education and initiatives, as well as the revitalization of arts and Alutiiq language on Kodiak Island.",0,"Kodiak Area Native Association",2023,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services",Kodiak,AK
NAE-254951-OLS-23,"The Kaw Nation will promote community access to the Kanza Library and Learning Center’s many resources and services through increased staff, hours, and programming. The library will provide a parent/teacher resource section for the Shidler/Kaw City School District. An afterschool program and tutor will assist students with homework and career planning. A Native Book Club will be open to the public with guest authors, specialized events and cultural cooking classes, beadwork, gardening and photography opportunities. The library will install an interactive digital kiosk featuring Tribal Language and hands on learning activities Additionally, language classes will be taught in the Learning Center to increase tribal language literacy. A StoryWalk featuring interchangeable children’s stories, tribal culture and history facts will be installed on the walking trail behind the library. Funds will also provide support for staff to travel for training at professional conferences. The project will benefit the rural citizens of Kay County and surrounding communities.",0,"Kaw Nation",2023,"Native American Library Services: Enhancement Grants",$149969,"Office of Library Services","Kaw City",OK
NAE-254955-OLS-23,"The Fort McDermitt Paiute-Shoshone Tribe and their partner library, the McDermitt Branch Library, will create a range of digital services, with the goal of preserving the Tribe’s endangered Northern Paiute language. A language and culture database will be developed, comprising historical and contemporary written and oral documents relative to the culture of the Fort McDermitt Paiute-Shoshone Tribe. Instructional materials to teach the Northern Paiute language via video and audio media will be created. Additionally, funds will support remote classes at the University of Nevada Reno and Boise State University to build capacity in cultural management and promote professional development in the rural McDermitt community. The project will benefit Paiute community as a whole and young adults in the McDermitt community, in particular.",0,"Fort McDermitt Paiute-Shoshone Tribe",2023,"Native American Library Services: Enhancement Grants",$113679,"Office of Library Services",McDermitt,NV
NAE-254962-OLS-23,"The Quapaw Tribal Library in Oklahoma will preserve the rich heritage of the Quapaw Nation, increase access to information by enhancing library resources, and promote early learning. The library is both a tribal and public library. Library usage data and patron surveys revealed adult literacy as a need and funding will support developing an adult literacy program. The project will purchase database subscriptions to expand access to the eBooks and audio books, educational online courses, and promote lifelong learning. A “Virtual STEAM Fair” for all area Native American students will help increase STEAM literacy. Funding will also expand the number of traditional crafting classes, such as pottery, beading, shawl-making, and moccasin making offered to both youth and adults. In addition, grant funds will support staff travel to attend professional conferences and network with other librarians. The project will benefit Quapaw Nation tribal members, tribal employees, and all community members.",0,"Quapaw Nation",2023,"Native American Library Services: Enhancement Grants",$148006,"Office of Library Services",Quapaw,OK
NAE-254970-OLS-23,"The Tonkawa Tribe of Oklahoma will utilize grant funds to increase education and literacy, cultural awareness and competency, day-long workshops with local artist/craftsmen, quarterly holiday and book-themed community events and cultural programming such as moccasin making, ribbon skirt and shirt crafting, feather work, belt making, t-dress making, handgame nights, storytelling, and activities concerning native plants. Funds will allow an increase in cultural archival material, databases, and research material available to community members as measured by the archival holdings and records accessed by Lyrasis (an online archival software platform). Project goals include creating patron memberships to databases and periodicals, as well as launching a community education campaign to teach community members about the newest offerings.",0,"Tonkawa Tribe of Oklahoma",2023,"Native American Library Services: Enhancement Grants",$123155,"Office of Library Services",Tonkawa,OK
NAE-254976-OLS-23,"The Aleut Community of St. Paul Island’s project to host “Island Times Visits”, an estimated 20-month long monthly opportunity to aurally and visually document the stories shared by elders speaking to local life events and happenings in their lifetime. Recordings will be stored by the library as part of its cultural archive, and copies will be edited for content and quality then placed on the www.tanamawaa.com and broadcasted on the local KUHB public radio. This project will help to preserve the unique culture and history of St. Paul Island over the past 50 years, and local residents and those off-island who access tanamawaa.com will have present and future access to those personal accounts of their community’s history and stories.",0,"Aleut Community of St. Paul Island",2023,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services","Saint Paul Island",AK
NAE-254949-OLS-23,"The Modoc Nation will utilize grants funds to support library staff as they develop policies, procedures and governing structures for language and culture revitalization efforts such as providing community patrons with access to a video production that interviews Tribal members that were born from 1937-1957, to capture their oral history of the Modoc Nation’s arrival in Oklahoma from California, life in Oklahoma, termination of Tribal status then on to reinstatement of being a Federally Recognized Tribe. Grant funds will also support staff salary as well as training to enhance both the staff’s skills and digital literacy to improve their knowledge of digital learning resources.",0,"Modoc Nation",2023,"Native American Library Services: Enhancement Grants",$149787,"Office of Library Services",Miami,OK
NAE-254967-OLS-23,"The Samish Indian Nation will build a digital library focused on indigenous books from the Pacific Northwest and digitally preserve oral histories and stories from elders through creating a Living Library webpage. They will purchase indigenous audiobooks and e-books, including assessing what is being checked out, and use Overdrive’s Local Content program to upload Samish language (Xws7ámshqen) learning resources. The Living Library webpage will connect Samish citizens with Samish elders, providing accessible cultural learning opportunities. Funds will also support staff professional development through attendance at the annual Washington Library Association conference. As a landless tribe, Samish relies on virtual and digital means to keep the nation connected. This project will broaden access to library resources for even more Samish citizens.",0,"Samish Indian Nation",2023,"Native American Library Services: Enhancement Grants",$59860,"Office of Library Services",Anacortes,WA
NAE-252429-OLS-22,"The Barona Band of Mission Indians and the Joan Phoenix Library will provide a wider selection of digital offerings through the Libby reading app for adult community members, new titles for circulation (with a focus on books for grades K–8), more educational programming opportunities, as well as supplies to assist with preservation measures for the existing collection. There is a growing demand for services that has been experienced since the pandemic began and is expected to continue in the next fiscal year.  Funds will also support extended public hours of operation and will provide support for staff to travel for training at professional conferences.  This project will benefit the Barona community members, Barona Indian Charter School students, and researchers. ",0,"Barona Band of Mission Indians",2022,"Native American Library Services: Enhancement Grants",$38000,"Office of Library Services",Lakeside,CA
NAE-252426-OLS-22,"The Santa Clara Pueblo will create an assessment instrument that will provide insight on the perception of COVID-19, overcoming the pandemic, understanding support needs that can be addressed through the library, and other relevant topics. The project will identify community stakeholders and develop monthly roundtable discussions, identify 4 safe outdoor learning spaces within the reservation, then plan and implement 12 activities, designed to integrate Montessori and Indigenous approaches to learning.  An evaluation will be conducted at the end of the first year, leading to a final report that will be shared throughout the community.  This project will benefit library patrons and community-based users.",0,"Santa Clara Pueblo",2022,"Native American Library Services: Enhancement Grants",$130105,"Office of Library Services",Espanola,NM
NAE-252438-OLS-22,"The Tunica-Biloxi Tribe of Louisiana will continue to support, maintain, and expand services to the Cultural and Educational Resources Center (CERC) Library. The project will support professional development opportunities for library staff to improve library reference services and service delivery. It also will increase community library capacity to preserve Tunica language and cultural materials and collections. The project team will coordinate public education programs for the tribal and local communities, including access to online services where tribal adults can complete skill/workforce development activities. This project will benefit library staff to improve service for all tribal families and the local Avoyelles Parish community.",0,"Tunica-Biloxi Tribe of Louisiana",2022,"Native American Library Services: Enhancement Grants",$140000,"Office of Library Services",Marksville,LA
NAE-252417-OLS-22,"The Yavapai-Prescott Indian Tribe Library Services Program will expand digital services through purchasing advanced technology and providing access to computer workstations and tablets to support needs for education, workforce development, economic development, and health information and digital literacy skills at the library. The program also will work to provide Wi-Fi outside of the library and implement interactive programming and activities. The project will improve the educational programs related to STEM, coding, and 3-D printing/engineering to support the interests of the tribal community. This project will benefit all tribal community members.",0,"Yavapai-Prescott Indian Tribe",2022,"Native American Library Services: Enhancement Grants",$145881,"Office of Library Services",Prescott,AZ
NAE-252441-OLS-22,"The Pawnee Nation of Oklahoma will support the continued development of their online Pawnee Portal and Pawnee Nation Library through staff and technology support and community engagement. The project team has already imported steadily increasing numbers of digitized materials about Pawnee history and culture. Now, staff and contractors will identify, filter, and process voluminous amounts of digitized and non-digitized materials found in local, state, and national repositories. Project activities will include building relationships with staff at each repository, digitizing untapped materials for acquisition, creating contextual metadata, and uploading digitized materials to the Portal. The team also will engage the community in activities and work with their Community Curator Team to develop cultural sensitivity protocols and establish acquisition priorities. This project will benefit all tribal community members.",0,"Pawnee Nation of Oklahoma",2022,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services",Pawnee,OK
NAE-252437-OLS-22,"The Pauma Band of Mission will purchase of supplies, technology, and digital preservation training for their Thriving Library Project at AA’Alvikat Library. The project will engage the community’s youth and seniors in translating historical and contemporary archive materials into digital content through the development of the tribe’s first digital archives. Participants will learn to document, catalog, digitize, process, review, and archive culturally relevant materials and artifacts. Outside contractors will assist the community to build a vision and goals, resources, workflow, collection evaluation, risk assessment, cataloging and metadata creation, digitization (including pre- and post-digitizing evaluations), and quality review. This project will benefit all tribal community members.",0,"Pauma Band of Mission Indians",2022,"Native American Library Services: Enhancement Grants",$142657,"Office of Library Services","Pauma Valley",CA
NAE-252286-OLS-22,"The Huna Totem Corporation will produce short films, lesson plans, and educational programming on Hoonah Tlingit traditions, history, and culture to share via an online digital archive. It also will supplement its archival holdings by recording new interviews with local elders to preserve their knowledge for future generations. The project will support travel for staff to teach a storytelling workshop in Hoonah and to host a teacher in-service and community presentation in Juneau, Alaska. The project will benefit more than 1,000 Hoonah community members, including K–12 students, elders, and Tlingit language learners.",0,"Huna Totem Corporation",2022,"Native American Library Services: Enhancement Grants",$149470,"Office of Library Services",Juneau,AK
NAE-252416-OLS-22,"The Choctaw Nation of Oklahoma will support staff and maintain existing operations, add a new selection of books and resources, and purchase mobile, open concept furniture to better engage students utilizing the Jones Academy Library. With the revitalized spaces and collection, staff will feature books and tailor monthly programming to build a love of learning in the library. Projects created will be displayed in the library to foster curiosity. The project will benefit Jones Academy residential students who range from grades 1st–12th and represent 22 different tribes .",0,"Choctaw Nation of Oklahoma",2022,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services",Durant,OK
NAE-252444-OLS-22,"The Confederated Tribes of the Grand Ronde Community of Oregon will publish and disseminate 10 children’s books that reflect Grande Ronde tribal history and culture. They will publish the books in English and Chinuk and provide recordings of tribal elders reading the text to accompany them. The project team will distribute copies to tribal classrooms and school districts in Oregon to enhance access to culturally relevant resources and language education. The project will benefit more than 1,800 school-aged youth served by the tribe, in addition to students across the state of Oregon.",0,"Confederated Tribes of the Grand Ronde Community of Oregon",2022,"Native American Library Services: Enhancement Grants",$142785,"Office of Library Services","Grand Ronde",OR
NAE-252435-OLS-22,"The San Pasqual Band of Mission Indians will enhance library resources and services and expand educational materials focusing on Kumeyaay language and culture. It will record and archive Kumeyaay language materials, offer virtual language education programming, and create new learning materials aligned with state standards. They will make more than 300 audio files of local language speakers accessible via an online repository. The project team will work closely with Kumeyaay Community College and the local school district to incorporate library resources into language education. The project will benefit more than 1,500 reservation residents, including K–12 and community college students.",0,"San Pasqual Band of Mission Indians",2022,"Native American Library Services: Enhancement Grants",$149700,"Office of Library Services","Valley Center",CA
NAE-252433-OLS-22,"The Grand Traverse Band of Ottawa and Chippewa Indians will provide collection development and programming supplies to support their existing operations and to maintain core library services for their community. They will support travel for their library workforce to attend skill-enhancing professional development meetings and conferences and will offer learning opportunities to community members in a variety of formats, with a focus on expanding knowledge of Anishinaabe people and culture, fostering literacy, and teaching stress reduction techniques. The project will benefit more than 4,000 enrolled tribal members in the library’s service area.",0,"Grand Traverse Band of Ottawa and Chippewa Indians",2022,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services",Peshawbestown,MI
NAE-252432-OLS-22,"The United Keetoowah Cherokee Council will provide new Native children’s and young adult books, literature, language materials, movies, and television shows to their patrons. It will invest in age-appropriate new technology by replacing all the computers and printers in their technology center. This project also will support the addition of a smart board so that the library can offer remote classes in the future, as well as purchase study tables, chairs, and desks to create a research and study space. This project will benefit members of the tribe, from youth to the elderly, and members of the community.",0,"United Keetoowah Band of Cherokee Indians",2022,"Native American Library Services: Enhancement Grants",$89000,"Office of Library Services",Tahlequah,OK
NAE-252413-OLS-22,"The Karuk Tribe will host monthly community archiving opportunities at tribal computer centers, libraries, and museums in each of their three tribal communities. Tribal library staff will collect inventory on the digitized items from the community archiving workshops, help prioritize at-risk collections, and support digitization efforts from community members and tribal departments, as well as existing holdings. Community members will gain skills to digitize prioritized collections and receive access to Karuk MemoryLab equipment through appointments. The tribe will publish outreach and promotions for the workshops in their quarterly tribal newsletters, as well as through social media, email, community bulletin boards, and word of mouth. This project will benefit all tribal community members.",0,"Karuk Tribe",2022,"Native American Library Services: Enhancement Grants",$150000,"Office of Library Services","Happy Camp",CA
NAE-252427-OLS-22,"Port Graham Village Council will provide technology and training to build digital proficiency within their community. Port Graham is a traditional Alutiiq village in Alaska with a fishing and subsistence lifestyle located at the southern end of the Kenai Peninsula. Project staff will purchase laptops, software and work with an instructor to deliver both in-person and virtual trainings on how to use technology and software tools for everyday needs, such as email, health, business, education, and professional development. This project will benefit the adult and elder population in Port Graham.",0,"Port Graham Village Council",2022,"Native American Library Services: Enhancement Grants",$124187,"Office of Library Services","Port Graham",AK
