"Log Number",Description,"Supplement Indicator",Institution,"Fiscal Year",Program,"Federal Funds","Funding Office",City,State
NAB-253810-OLS-23,"White Earth Tribal and Community College’s Wiigwaas Library will purchase textbooks, research literature, and other print materials. The library is the primary information resource for students participating in degree, credential certification, and non-certification programs. Funding will enable the college to acquire new and relevant texts, manuals, and print publications in the academic, technical, and cultural areas to best support their education. As an Ojibwe immersion college, these purchases will also include information resources to support the preservation of tribal history and culture. The project will provide direct benefit to students, faculty, and the White Earth Nation Reservation community.",0,"White Earth Band of Chippewa",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","White Earth",MN
NAB-253682-OLS-23,"The Pueblo of Pojoaque will support the library circulation clerk’s salary to offer extended evening and weekend hours to support its existing operations and maintain core library services for its community. The library provides essential access to computers, the library’s wireless network, and after school study spaces. The extended hours are particularly valuable for the large number of working families who utilize the library. Notably, the library offers the only selection of books and films in the Pojoaque area, and within a 12-mile radius. Funding will also support travel for its library workforce to attend skill-enhancing professional conferences. The staff who participated in the conferences will report what they learned at a staff meeting. The project will provide direct benefit to Pojoaque community members within its project service area.",0,"Pueblo of Pojoaque",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Santa Fe",NM
NAB-253768-OLS-23,"The Irene Ingle Public Library will purchase two new Early Literacy Workstations to replace outdated equipment as well as renew the subscription to the Alaska Digital Library. Providing these Early Literacy Workstations to the community of Wrangell aligns with the library’s mission to advance shared knowledge and learning opportunities for community members. The library’s current Early Learning Workstations are over 10 years old and need replacing. The new machines will come pre-loaded with STREAM-aligned content that reflects what children need to be learning in today’s world. The project will provide direct benefit to the children of Wrangell.",0,"Wrangell Cooperative Association",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Wrangell,AK
NAB-253708-OLS-23,"The Hannahville Indian Community aims to expand their community’s engagement with library resources though purchasing books, Overdrive and Libby reading apps, and general office supplies to support its existing operations and maintain core library services. It will boost use of digital resources through purchasing Kindles for loan. Funds will support participation in the Library of Michigan Staff Certification Program for their new librarian. It will support travel for staff to attend skill-building conferences and visit libraries in other Native American communities. In addition, funds will support materials for high school students and elders to construct a wigwam reading area that is consistent with local history. The project will provide direct benefit to the tribal citizens within its rural project service area.",0,"Hannahville Indian Community",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Wilson,MI
NAB-253807-OLS-23,"The Kickapoo Tribe of Oklahoma will purchase books, magazines, and other relevant cultural and historical books and materials to supplement its growing collection, support its existing operations, and to maintain core library services for its community. This project will provide direct benefit to tribal citizens within its project service area by promoting cultural and historical awareness, providing access to books, and expanding library services.",0,"Kickapoo Tribe of Oklahoma",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",McLoud,OK
NAB-254805-OLS-23,"Cahto Tribe of Laytonville Rancheria will support the development and delivery of interactive, hands-on cultural activities to the Tribal community with the purchase of culturally relevant materials, books, and program materials. The project will promote the community's interest in learning about the Cahto traditions and provide an opportunity for Tribal members to learn the Cahto language, traditional beading, and traditional planting. Funds will also support instructors for these activities, after school tutors, and library supplies to support its existing operations and to maintain core library services for its community. The project will provide direct benefit to Cahto Tribal members and the Rancheria community.",0,"Cahto Tribe of Laytonville Rancheria",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Laytonville,CA
NAB-254814-OLS-23,"The Stockbridge-Munsee Community Arvid E. Miller Memorial Library/Museum will hire an Archival Education and Training Specialist to carry out activities for the Sustainable Archival and Digitization Training Project. Activities will result in the creation of training resources in archival processing and digitization that are sustainable and culturally responsive for the Library/Museum. It will also support travel for the Director of Cultural Affairs (Project Manager) to the ATALM National Conference in Washington, DC, so that they can gain knowledge about other projects and services that are being offered by other Native Communities. The project will provide direct benefit to the tribal citizens within its project service area.",0,"Stockbridge-Munsee Community",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Bowler,WI
NAB-254817-OLS-23,"The Tohono O’odham Nation will purchase supplies for library programming and purchase annual subscriptions to maintain the cataloging and circulation license and maintenance support for the library integrated system. It will also pay for internet connectivity and Wi-Fi for library patrons. Funds will support travel and registration costs for staff to participate in a professional development opportunity. The project will provide direct benefit to the tribal citizens through library services at the Venito Garcia Library.",0,"Tohono O'odham Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Sells,AZ
NAB-253740-OLS-23,"The Red Cliff Band of Lake Superior Chippewa Indians will purchase children’s books and support a portion of staff salaries to continue to share culturally important information with children, students, and families at the library through storytelling, reading, and workshops. Staff will also receive training towards their State Library Certification to add strength and credibility to library operations. The project will provide direct benefit to the Red Cliff Band of Lake Superior Chippewa Indians.",0,"Red Cliff Band of Lake Superior Chippewa",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Bayfield,WI
NAB-253714-OLS-23,"The Nooksack Indian Tribe will promote community, literacy, education, employment, and ongoing reading enjoyment by providing books, materials, services, and programs through its library services. It will purchase basic subscriptions, supplies, internet subscriptions, and books to maintain and improve core library services. It will support digital literacy classes for Tribal elders and teens, after school tutoring for ages K-12, and books to go along with the summer reading program for tribal youth.  The library will also continue to work on the “Stories of the Nooksack Elders” documentary stories in pictures and film. The library engages teens to interview the elders about their lives and then hangs photographs from this project at the library. The project will provide direct benefit to the nearly 1,930 tribal citizens within its project service area with a special emphasis on tribal elders and youth.",0,"Nooksack Indian Tribe",2023,"Native American Library Services: Basic Grants",$7300,"Office of Library Services",Deming,WA
NAB-253801-OLS-23,"The Northwestern Band of the Shoshone Nation seeks to maintain and sustain its current efforts to strengthen the language, culture, and community through its tribal library at its new Ogden office. This project will ensure that the library w can strengthen its current efforts to support its young people and families. The project will focus on resource development and youth, elder, and community support. To support its youth, this project seeks to increase access to culturally relevant materials and hold community library events. This project will allow the library to purchase more Shoshone educational materials for its library, provide hands on storytelling and culture-sharing events with our elders, and increase access to Shoshone language and culture through these activities.",0,"Northwestern Band of the Shoshone Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Brigham City",UT
NAB-253611-OLS-23,"The Catawba Indian Nation Archives and Community Library will purchase books and materials to support its existing operations and to maintain core library services for its community. It will support salaries for the tribal archivist and community librarian to preserve and promote access to archival and library collections. Through the preservation of the cultural and historical materials related to the Catawba people, tribal community members can share the story of their ancestors, improve their literacy skills, and enhance engagement across all ages. Archival collections are available in person and through the Catawba Nation Archives Online. The project will provide direct benefit to tribal members as well as the Catawba community.",0,"Catawba Indian Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Rock Hill",SC
NAB-253787-OLS-23,"The Samish Indian Nation will increase library use and library user engagement with library materials and services as the library continues to work through the impact of the global Covid-19 pandemic. The library seeks to expand digital services and digital collections. The library will develop and online public access catalog to feature materials related to Pacific Northwest tribes in history, culture, crafts, stories, and more. The library will improve services for learning and accessing information and will help improve core library services for their community. These efforts will offer resources to learn about the tribe’s history and culture.",0,"Samish Indian Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Anacortes,WA
NAB-253677-OLS-23,"The Elk Valley Rancheria will purchase books, periodicals, electronic resources, and supplies to support its existing operations and to maintain core library services for its community. It will support the tribal librarian’s salary, helping the library strengthen opportunities for learning and accessing information. The library has an extensive Native American book selection that is utilized heavily by local college students and other researchers. Funds will provide paper for the computer room which is used extensively by tribal member youth to complete homework. Funding will also support travel for the tribal librarian to attend the International Conference of Indigenous Archives, Libraries and Museums and share best practices for assessing library collections and services. The project will provide direct benefit to tribal citizens, college students, and other researchers within its project service area.",0,"Elk Valley Rancheria",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Crescent City",CA
NAB-253749-OLS-23,"The Ponca Tribe of Oklahoma will purchase three computers to update and expand its existing computer lab. Books will be purchased to support the summer reading program and to support adult learners in the community. Materials will include cultural books, STEM topics, and books of interest for reluctant readers. A portion of funds will be used to support the Director’s salary and staff will attend the Oklahoma Library Association conference to connect with other library practitioners and learn best practices. The grant will provide direct benefit to the Ponca Tribe of Oklahoma.",0,"Ponca Tribe of Oklahoma",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Ponca City",OK
NAB-253690-OLS-23,"The Muckleshoot Indian Tribe located in Auburn, Washington, will purchase books with input from local artists and community members, and bookshelves to support its existing operations and maintain core library services. It will also secure reference books written by tribal members. The library offers resources and exhibits focused on Coastal Salish history and culture including local events, family genealogy, Northwest native art and culture, Lower Puget Sound language, archaeology, and Northwest history, especially Washington Tribes. The library will continue to build a body of materials that advance shared knowledge and learning opportunities for all, providing direct benefit to the Muckleshoot Indian Tribe and its surrounding community to ensure that the tribe’s cultural traditions, history, and language are preserved.",0,"Muckleshoot Indian Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Auburn,WA
NAB-253707-OLS-23,"The Oneida Indian Nation will use funds for the library administrator's salary to continue existing operations and maintain core library services for the community. Located in the Ray Elm Children & Elders Center in the Nation's Village of the White Pines housing community, the Oneida Nation Library has resumed regular library services after closure and reduced hours due to the COVID-19 pandemic. The library administrator will maintain popular services implemented during the COVID-19 pandemic including pick-up and delivery service conducted through the elders congregate and take-home meal service, the Early Learning Center, and employee interoffice mail. The library also aims to increase outreach to their user base, primarily children from the Early Learning Center and their families, elders, and Nation employees. The project will provide direct benefit to the Oneida Indian Nation community.",0,"Oneida Indian Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Oneida,NY
NAB-253798-OLS-23,"The Cocopah Indian Tribe Community Library located within the Cocopah Vocational Training Center will continue to provide reading materials for the Cocopah Tribal Community Members. The focus of this project is to support the existing library operations and to maintain core library services. This project will be used to coordinate a summer reading program and to purchase books and materials for the upcoming activities and events for the Cocopah Community Youth such as the Summer Reading Program, Fun in the Sun, Back Pay Day and Community Book Drive. The library seeks to enable expansion of the library collection of Native American books for resources in language, history, genealogy, and tribal government.",0,"Cocopah Indian Tribe",2023,"Native American Library Services: Basic Grants",$6100,"Office of Library Services",Somerton,AZ
NAB-253754-OLS-23,"The Rincon Band of Luiseño Indians will purchase storage cabinets to replace open shelving and allow for improved storage of books and journals. A portion of funds will also be used by staff to attend the annual ATALM conference to network and gain knowledge to enhance library storage, further identify resources, books and academic writings to provide diverse and up-to-date resources. The grant will provide direct benefit to the Rincon Band of Luiseno Mission Indians of the Rincon Reservation, California.",0,"Rincon Band of Luiseño Indians",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Valley Center",CA
NAB-253760-OLS-23,"The Chilkat Indian Village will purchase archival materials and support a portion of staff salaries to expand its archival collection of tribal documents, photos, and audiovisual materials and make those materials more accessible to the community. Library staff will deliver workshops based on the community’s interest and will use funds to pay workshop presenters. To enhance their skills in both general library work and archival work to better serve patrons, staff will receive additional training by working with a library consultant and participate in workshops and professional development opportunities. The project will provide direct benefit to the Chilkat Indian Village.",0,"Chilkat Indian Village",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Haines,AK
NAB-253778-OLS-23,"The Susan Wilbur Early Education Center library will purchase culturally relevant books, publications, library supplies, and furnishings to support existing operations and maintain core library services. Library staff will continue to build the permanent collection with books for early and pre-readers, with a focus on books that highlight both modern and traditional Native and Indigenous lives and perspectives. They will also install at least two more Little Free Library stations, which allows books to better reach underserved populations. Funds will also support online skill-enhancing professional development for its library workforce, grow its Summer Reading Program, and offer library pop-up events to strengthen community engagement. The project will continue to expand the collection of culturally relevant materials for the children and families of the Coast Salish People",0,"Swinomish Indian Tribal Community",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","La Conner",WA
NAB-253748-OLS-23,"The Ottawa Indian Tribe of Oklahoma will purchase scanning software, two computers, and additional educational resources on Native history and culture to meet the community’s information and cultural needs. The library will also purchase books to expand the Kids Book Program and create oral histories and instructional videos for use by the tribe. A portion of funds will be used by staff to attend national and state conferences for training and professional development. The grant will provide direct benefit to the Ottawa Indian Tribe of Oklahoma.",0,"Ottawa Tribe of Oklahoma",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Miami,OK
NAB-253733-OLS-23,"The Nulato Tribal Library will establish a technology center within the current library. Over the last several years, the Nulato have compiled resources on cultural history and lifestyle and now seek to preserve its traditions by creating youth awareness.   Through the use of teen volunteers partnering with the Tribal Elders, they will help implement the use of the new technology center in the library and create learning opportunities for sharing cultural history.",0,"Nulato Village",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Nulato,AK
NAB-253695-OLS-23,"The Port Graham Village Council will purchase program supplies and support the salary of the part-time Librarian, enabling the library to strengthen opportunities for learning and provide core library services to its community. The Librarian will develop programs such as reading challenges, movie nights, and nature walks to engage youth and their caregivers. The library will expand the hours of the computer lab for those attending training seminars and needing access to a computer or the internet. The grant will also pay for internet connectivity for the library. The project will provide direct benefit to the tribal community and specifically youth and their caregivers.",0,"Port Graham Village Council",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Port Graham",AK
NAB-253686-OLS-23,"Shaan Seet Inc. and the Craig Public Library will update their collection, with an emphasis on Alaska Native books, purchase materials for two seasonal reading programs, and subscriptions to support its existing operations and maintain core library services for its community. It will furnish a space for preteens and teens to use for homework, gaming, or reading. As the largest library on the island, it provides key services ranging from internet and printer access to assisting patrons with applying for the Alaska Permanent Fund Dividend.  Library computers are used, on average, 550 sessions a month. The project will provide direct benefit to over 5,000 community members on Prince of Wales Island in Southeast Alaska.",0,"Shaan Seet, Inc.",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Craig,AK
NAB-253744-OLS-23,"Shoalwater Bay Indian Tribe will purchase educational software, subscriptions, books, art, and office supplies in order to continue providing cultural and educational services to tribal members and the general public. A portion of the funds will also support training for their librarian and cultural director and pay for cultural speakers and educators to provide public programming. The grant will provide direct benefit to the Shoalwater Bay Indian Tribe and the surrounding community.",0,"Shoalwater Bay Indian Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Tokeland,WA
NAB-253694-OLS-23,"The Aleutian Pribilof Islands Association supports staff time and materials for the Unangax Heritage Library and Archive which provides core library services to nine tribes of Aleut people in Alaska. It will strengthen community engagement by providing in-person library and archive services; publishing an Unangam Tunuu Word of the Week; and holding programs and workshops on topics such as such as genealogy, the Unangam Tunuu language, art, dance, and folklore. The library will also digitize and share materials from the Unangax/Aleut culture with wide audiences through presentations, their website, social media outlets, and other publications. These efforts by the library will document and preserve significant elements of this population’s culture and increase understanding of the important contributions made by the Unangax/Aleut people. It will also support travel for its library workforce to skill-enhancing professional development conferences to help strengthen the library services. The project will provide direct benefit to the Agdaagux Tribe of King Cove; Akutan Traditional Council; Atka IRA Council; Belkofski Village Council; False Pass Tribal Council; Nelson Lagoon Tribal Council; Nikolski IRA Council; Qawalangin Tribe of Unalaska; and the Unga Tribal Council.",0,"Aleutian Pribilof Islands Association, Inc.",2023,"Native American Library Services: Basic Grants",$90000,"Office of Library Services",Anchorage,AK
NAB-253756-OLS-23,"The Shoshone-Bannock Tribe will increase access to information and educational resources for children and adults through its new bookmobile. Native American newspapers, books, and magazines will be purchased to enhance the bookmobile collection and support acess, education, cultural preservation, and community building throughout the reservation. Funds will also be used to provide vehicle maintenance, fuel, library supplies, and software. The grant will provide direct benefit to the Shoshone-Bannock Tribe and the Fort Hall Reservation of Idaho.",0,"Shoshone-Bannock Tribes",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Fort Hall",ID
NAB-253802-OLS-23,"The Lummi Nation Library is integrated with the Northwest Indian College Library serving the needs of tribal members and college students who are significantly represented as members of the tribal community. The library seeks to enhance its collection development. Selection of materials will be made with community input, including that of the Lummi Nation School library specialist, and the Whatcom County Library Systems’ youth services librarians. Review sources and specialist catalogs will also be consulted. This project will feature support for the coverage of expenses related to courses, workshops, and other forms of training for library staff.  This project will support the coverage of expenses related to staff participation at professional conferences.",0,"Lummi Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Bellingham,WA
NAB-253808-OLS-23,"The Blue Lake Rancheria will use funds to purchase physical and digital books to expand the collection and program supplies for youth programs. It will also purchase furniture for the library. Additionally, funds will support the salary of the Librarian as well as tutoring services for K-12 youth. The librarian will develop programs including painting, crystal making, STEAM programs, and game and movie nights to engage youth. This project will provide direct benefit to tribal citizens within its project service area by expanding services to all members, and especially students.",0,"Blue Lake Rancheria",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Blue Lake",CA
NAB-253691-OLS-23,"The Oneida Nation will purchase books and program supplies to provide core library services and deliver programs for community members of all ages. From early learning/literacy programs for children to life-long learning opportunities for adults, the libraries will provide members of the community access to materials and services that improve reading and computer skills and encourage family learning and growth. Programs also will help increase cultural knowledge and understanding of the Oneida language. Elder and adult programs are being organized on arts, literature, and computer skills. The libraries plan to connect youth and their caregivers to other activities in the community. The grant will also support travel for its library workforce to conference, registration for skill-enhancing professional development opportunities and membership to library organizations. The project will provide direct benefit to the community with a focus on youth and Elders.",0,"Oneida Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Green Bay",WI
NAB-253724-OLS-23,"The Salish Kootenai College (SKC) will purchase books and materials that affirm their mission of collecting “all materials relating to the [Salish and Kootenai] tribes, their history, culture and Reservation affairs” with a focus on purchasing materials printed through SKC and Npustin Presses, a local Salish culture and language press. Funding will also purchase a new patron computer station that allow community members access to the rich resources held at the D’Arcy McNickle Library and support their library workforce to attend skill-enhancing professional development conferences locally and in the region to help strengthen the library services and build their network in the library field. The project will provide direct benefit to tribal citizens and community members within its project service area.",0,"Confederated Salish and Kootenai Tribes",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Pablo,MT
NAB-253751-OLS-23,"The Sisseton-Wahpeton Oyate will record, edit, and disseminate at least eight video recordings of traditional stories told in the Dakota Language by Dakota Oyate elders. The recordings will be edited to prevent human error, long pauses, or any other potential interferences; and assist the Sisseton Wahpeton College’s Dakota Iapi program and the Sisseton Wahpeton Oyate in increasing the volume and distance the Iapi is shared. A portion of funds will also support the salaries of the staff recording and editing the eight stories. The grant will provide direct benefit to the Sisseton-Wahpeton Oyate and the Lake Traverse Reservation.",0,"Sisseton-Wahpeton Oyate",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Agency Village",SD
NAB-253791-OLS-23,"The Akwesasne Cultural Center of the Saint Regis Mohawk Tribe will purchase public computers and laptops to support its existing operations and improve core library services for its community. This will also help address an increased demand for educational and general workspaces. The Akwesasne Cultural Center will support travel for its library workforce to skill-enhancing professional development meetings, including the International Conference of Indigenous Archives, Libraries, and Museums. These initiatives will provide direct benefit to the Akwesasne Mohawk Nation and to the Saint Regis Mohawk Tribe citizens. The efforts of the center will reinforce a commitment to improving educational outcomes for the Akwesasne community.",0,"Saint Regis Mohawk Tribe",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Akwesasne,NY
NAB-253698-OLS-23,"The Iowa Tribe of Oklahoma Library will purchase a Tumble Books subscription and hire an Education Assistant to support its existing operations and to maintain core library services for its community. The Tumble Books platform will provide access to digital books to remote areas of the tribe and the Education Assistant will provide guided training on new and existing library resources to all patrons.  This project will improve and expand services and increase knowledge to all members, and especially students and the underserved elder community. ",0,"Iowa Tribe of Oklahoma",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Perkins,OK
NAB-253774-OLS-23,"The Choctaw Nation of Oklahoma will champion life-long learning and create positive experiences associated with reading at the Nation’s peripheral dormitory school. Jones Academy will purchase a monthly book subscription to build the number of available books within the in-home libraries located in the dormitories. The school will also implement a unique reading incentive by purchasing a customizable book vending machine that exchanges a machine-specific coin for a book of the student’s choice to reward good reading habits and build the student’s personal library. These projects are integral for the success of the students to keep them engaged in reading and learning outside of school hours. Students at the dormitory school will develop a sense of self as they build their personal libraries, as well as improve upon skills gained during class time.",0,"Choctaw Nation of Oklahoma",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Durant,OK
NAB-253746-OLS-23,"Bishop Indian Tribal Council will purchase books, instructional materials, office supplies, and other reading materials to support its Early Head Start, Head Start, Literacy in the Library, and Native language programming. Grant funds will also be used to support library staff attendance at national conferences to remain up to date on best practices in the field. Grant funds will provide the community with literacy-based activities, tribal history, cultural literature, and oral traditions. The grant will provide direct benefit to the Bishop Paiute Tribe and the surrounding community.",0,"Bishop Indian Tribal Council",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Bishop,CA
NAB-253755-OLS-23,"The Fort McDowell Yavapai Nation will develop a STEM activity room with technology kits to provide after-school programming for children. External drives will also be purchased to support the library in digitizing and archiving tribal records and research important for the future of the tribe and for compliance with tribal government regulations. An additional twenty hotspots will also be available to the community for class internet access, job searching, and accessing library databases. The grant will provide direct benefit to the Fort McDowell Yavapai Nation.",0,"Fort McDowell Yavapai Nation",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services","Fort McDowell",AZ
NAB-253763-OLS-23,"The Santa Clara Pueblo Community Library will pay for library staff and supplies to support existing library core operations and services. Additionally, library staff will have the opportunity to attend library-specific training and conferences to increase and update staff knowledge and skills in library program operations. The pandemic resulted in much loss and isolation; gathering once again in the essential community space that is their tribal library, presents opportunities to learn, read, and heal together. With efforts to continue to build upon the library's educational and community resources going forward, it is essential for the community to understand their world and unique Pueblo history through sharing, preserving, and accessing resources unique to their tribal community. Core library services will focus on reader’s advisory, technology access, reference, collection development, circulation, technology support, safe gathering spaces, and collecting archival resources unique to Santa Clara Pueblo.",0,"Santa Clara Pueblo",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Espanola,NM
NAB-253701-OLS-23,"The Lac Courte Oreilles Band of Lake Superior Chippewa Indians will purchase library materials, in a variety of formats, and supplies to enhance the library collection and support the summer reading program.  Areas to add to the collection include subjects in support of the university classes, items for the visually and hearing impaired, and titles for recreation and entertainment. Additionally, the library will hire two assistants for the summer programs for children to help create a great experience for children in grades 1-5.",0,"Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin",2023,"Native American Library Services: Basic Grants",$10000,"Office of Library Services",Hayward,WI
